번호, 제목, 등록일
334,2017-2학기 담임교수제(진로상담교수제(CCP)) 시행 안내,2017-10-13
335,[네이버]네이버CAMPUS HACKDAY(해커톤) [~11.5(일)까지],2017-10-16
336,ICT/SW기반 사회문제해결 아이디어 공모전,2017-10-16
337,Peoplespace(Irvine CA 소재) 해외교육프로그램 선발,2017-10-18
338,공학교육인증 전문프로그램(ABEEK) 신청 및 포기 기간 안내,2017-10-18
339,[멀티캠퍼스]4차 산업혁명 선도인력 모집 안내,2017-10-19
340,2017학년도 전기(2018.02월) 졸업예정 교직이수자 대상 무시험...,2017-10-19
341,2017학년도 천문대 공개 관측회 개최 안내,2017-10-19
342,[장학]컴퓨터공학과 발전장학금 신청 안내,2017-10-20
343,2017학년도 2학기 핵심교양 이수면제 시행안내,2017-10-24
344,2017년 국제캠퍼스 대학직장예비군 보충훈련 공고,2017-10-25
345,2017학년도 동계 전자정보대학 해외전공연수프로그램 신청안...,2017-10-26
346,2017 총학생회와 미래혁신원이 함께하는 career Festival ,2017-10-26
347,IoT 데이터 연금술사 해커톤 ,2017-10-26
348,2017 SW FESTIVAL 전시작품 모집,2017-10-27
349,2017경희대학교 동서의학대학원 고령친화산업 심포지움 시리...,2017-10-30
350,2017 NAVER CAMPUS HACKDAY winter 안내,2017-10-31
351,[장학]2017-2학기 우정(가계곤란)장학금 신청 안내,2017-11-03
352,[필독]전자정보대학 SW융합실습실(B06호) 개방 관련 안내,2017-11-03
353,[장학]2018학년도 관정이종환교육재단 장학생 선발 안내,2017-11-06
354,[장학]서울장학재단 유영아 학업장학금 제 5기 장학생 선발 ...,2017-11-07
355,[장학]2018년 STX장학재단 국내장학생 선발 안내,2017-11-07
356,연구활동종사자 안전교육 실시 및 실험실 폐기물 처리방법 ...,2017-11-09
357,2017 전자정보대학 SW FESTIVAL 전시작품 모집,2017-11-09
358,(KESSIA) 『2017 찾아라! 프로그래밍 마에스터』 참여기업 모집,2017-11-13
359,Magnolia 2017 행사 일정 안내,2017-11-15
360,2017학년도 2학기 강의평가 실시 안내,2017-11-16
361,2018-1학기 국가장학금 1차 신청 안내 ,2017-11-20
362,2017-2학기 졸업능력인증제도 신청(대체/면제)안내,2017-11-21
363,2017학년도 2학기 성적 열람 및 공시(정정) 기간 공고,2017-11-21
364,경희대학교 전화외국어 프로그램 ,2017-11-22
365,경희 북토크 행사 ,2017-11-27
366,2017 전자정보대학 우수동아리 지원,2017-11-27
367,2017년 구성원 긍지 및 만족도 조사 실시 안내 ,2017-11-29
368,매그놀리아 스토리 장학금 모금 캠페인 ,2017-12-01
369,공사안내(교내 주도로 부분포장공사),2017-12-01
370,[장학]2017-2학기 학생지원팀 장학사정관제장학 신청 안내,2017-12-04
371,공사안내 2차(교내 주도로 부분포장공사),2017-12-04
372,[수업]2018학년도 신규 교과목(최신기술콜로키움1 클라우드...,2017-12-06
373,[LINC+]융복합형 취 · 창업지원 프로그램,2017-12-07
374,[장학]2017학년도 전자정보대학 우수학술장학생 모집,2017-12-08
375,2018학년도 1학기 수강희망과목담기 안내,2017-12-11
376,[전자정보대학]2018 동계방학 근로학생 모집공고,2017-12-13
377,[수업]2018학년도 1학기 소프트웨어공학 강의계획서 ,2017-12-13
378,[LINC+]오픈랩(Open-Lab)을 활용한 취업 및 창업역량을 위한 비즈...,2017-12-13
379,[장학]2018학년도 1학기 교내장학금 신청안내,2017-12-14
380,[장학]2017학년도 경희목련장학(포항지진 피해학생 지원)신청...,2017-12-18
381,[필독/중요]2018년 변경된 컴퓨터공학과 교육과정 ,2017-12-18
382,2018학년도 1학기 전과 모집요강,2017-12-21
383,[장학]2018년도 10회 이수병장학생 선발 계획 안내,2017-12-22
384,2018학년도 학사일정 안내,2017-12-26
385,학·석사연계과정생 조기졸업 신청 안내,2017-12-26
386,[재공지]2017학년도 2학기 연구활동종사자 온라인 안전교육 ...,2017-12-26
387,전환시대 관련 기획광고 ,2017-12-27
388,2018학년도 1학기 복학신청 안내,2017-12-27
